algorithm,p_loss_%,tcr_mean_%,delta_abs_pp,delta_rel_%,spearman_rho,spearman_p
cbba,0,94.0,0.0,0.0,-1.0,0.0
cbba,10,91.9,-2.1,-2.234,-1.0,0.0
cbba,20,90.1,-3.9,-4.149,-1.0,0.0
cbba,30,87.8,-6.2,-6.596,-1.0,0.0
cbba,40,83.5,-10.5,-11.17,-1.0,0.0
cbba,50,80.7,-13.3,-14.149,-1.0,0.0
acbba,0,94.0,0.0,0.0,-0.8286,0.04156268221574334
acbba,10,93.4,-0.6,-0.638,-0.8286,0.04156268221574334
acbba,20,92.7,-1.3,-1.383,-0.8286,0.04156268221574334
acbba,30,91.8,-2.2,-2.34,-0.8286,0.04156268221574334
acbba,40,92.5,-1.5,-1.596,-0.8286,0.04156268221574334
acbba,50,92.5,-1.5,-1.596,-0.8286,0.04156268221574334
